state,week,population_100k,ed_visit_rate,naloxone_admin_rate,subprogram_type,copresent_subrate
AL,1,49.7,,13.1,,0.0
AL,2,28.9,,20.05,,0.0
AL,3,37.3,6.39,22.03,,0.0
AL,4,49.5,6.83,18.47,,0.0
AL,5,51.6,6.81,11.7,,0.0
AL,6,58.5,,12.48,,0.0
AL,7,62.2,7.24,17.58,,0.0
AL,8,44.7,,16.07,,0.0
AL,9,18.1,6.84,12.88,,0.0
AL,10,26.9,,14.6,,0.0
AL,11,57.2,,12.63,,0.0
AL,12,27.5,,16.82,,0.0
AL,13,19.7,,19.63,,0.0
AL,14,19.7,7.17,15.2,,0.0
AL,15,52.8,,25.73,,0.0
AL,16,46.7,9.1,16.08,,0.0
AL,17,34.6,,14.47,,0.0
AL,18,42.3,,13.9,,0.0
AL,19,59.4,,,,0.0
AL,20,23.1,6.85,,,0.0
AL,21,62.1,,,,0.0
AL,22,36.0,,,,0.0
AL,23,41.7,7.75,20.97,,0.0
AL,24,30.9,6.61,11.93,,0.0
AL,25,45.8,,18.59,,0.0
AL,26,36.1,6.7,16.11,,0.0
AL,27,54.1,7.27,10.57,,0.0
AL,28,58.2,4.55,6.59,,0.0
AL,29,22.4,,13.27,,0.0
AL,30,46.1,,13.84,,0.0
AL,31,55.6,,10.5,,0.0
AL,32,48.1,3.29,6.93,,0.0
AL,33,36.9,5.87,13.13,,0.0
AL,34,22.7,4.03,12.26,,0.0
AL,35,18.8,,6.94,,0.0
AL,36,48.0,5.63,13.25,,0.0
AL,37,22.8,,16.29,,0.0
AL,38,61.3,,6.88,,0.0
AL,39,48.1,,12.11,,0.0
AL,40,47.0,6.56,13.39,,0.0
AL,41,23.4,4.74,10.04,,0.0
AL,42,57.3,,15.55,,0.0
AL,43,52.4,5.51,17.67,,0.0
AL,44,43.5,4.67,13.84,,0.0
AL,45,20.3,3.4,5.4,,0.0
AL,46,62.5,5.33,13.09,,0.0
AL,47,38.0,7.33,17.36,,0.0
AL,48,31.6,6.75,10.24,,0.0
AL,49,56.1,4.56,9.52,,0.0
AL,50,22.7,,10.2,,0.0
AL,51,21.5,7.29,20.02,,0.0
AL,52,45.9,4.4,11.72,,0.0
AZ,1,37.2,9.61,26.22,pharmacy,3.12
AZ,2,35.3,7.21,16.2,pharmacy,1.84
AZ,3,50.5,9.3,15.93,pharmacy,1.97
AZ,4,52.2,8.8,22.82,pharmacy,2.17
AZ,5,66.9,9.85,23.92,pharmacy,4.6
AZ,6,30.0,8.61,16.08,pharmacy,2.64
AZ,7,61.7,10.23,17.86,pharmacy,5.07
AZ,8,28.3,9.56,24.61,pharmacy,3.56
AZ,9,58.0,10.63,28.81,pharmacy,3.07
AZ,10,65.8,11.24,23.83,pharmacy,5.38
AZ,11,26.4,10.01,20.42,pharmacy,4.34
AZ,12,42.1,10.15,18.51,pharmacy,3.6
AZ,13,36.2,10.99,,pharmacy,3.17
AZ,14,23.4,8.34,,pharmacy,3.53
AZ,15,59.2,11.36,,pharmacy,3.82
AZ,16,59.4,9.11,,pharmacy,3.34
AZ,17,50.1,8.13,19.44,pharmacy,2.51
AZ,18,27.1,10.81,35.87,pharmacy,2.76
AZ,19,59.8,10.35,23.41,pharmacy,3.48
AZ,20,49.7,10.01,16.43,pharmacy,4.39
AZ,21,39.9,10.77,25.24,pharmacy,5.33
AZ,22,50.9,9.77,21.82,pharmacy,4.75
AZ,23,33.2,9.58,12.37,pharmacy,2.96
AZ,24,64.4,8.82,22.94,pharmacy,2.24
AZ,25,52.4,9.47,27.25,pharmacy,4.25
AZ,26,63.7,10.45,19.79,pharmacy,4.8
AZ,27,47.1,9.39,25.66,pharmacy,2.44
AZ,28,49.0,7.94,,pharmacy,3.53
AZ,29,66.3,7.12,,pharmacy,2.03
AZ,30,30.5,9.19,23.15,pharmacy,4.17
AZ,31,43.6,8.31,16.32,pharmacy,2.21
AZ,32,44.1,9.69,18.79,pharmacy,2.26
AZ,33,53.1,7.65,23.31,pharmacy,2.63
AZ,34,39.9,5.83,17.31,pharmacy,1.88
AZ,35,64.2,7.83,22.47,pharmacy,3.8
AZ,36,57.6,7.36,8.1,pharmacy,3.18
AZ,37,35.9,8.8,24.24,pharmacy,3.2
AZ,38,48.2,7.9,19.03,pharmacy,2.14
AZ,39,59.2,8.17,25.65,pharmacy,2.47
AZ,40,56.5,7.21,21.48,pharmacy,3.48
AZ,41,53.2,8.46,12.78,pharmacy,2.31
AZ,42,46.4,8.63,22.04,pharmacy,3.81
AZ,43,32.8,9.14,26.7,pharmacy,3.51
AZ,44,41.5,9.01,14.89,pharmacy,4.26
AZ,45,42.2,6.75,11.08,pharmacy,2.29
AZ,46,64.1,8.63,18.58,pharmacy,4.11
AZ,47,48.4,9.21,15.3,pharmacy,3.36
AZ,48,40.8,10.08,25.63,pharmacy,3.01
AZ,49,52.2,8.97,26.36,pharmacy,2.49
AZ,50,64.1,7.72,20.78,pharmacy,3.24
AZ,51,61.8,6.82,19.21,pharmacy,1.91
AZ,52,40.5,7.48,17.71,pharmacy,3.23
CA,1,26.1,8.75,20.41,,0.0
CA,2,24.1,8.66,19.95,,0.0
CA,3,32.5,9.99,23.47,,0.0
CA,4,27.4,9.65,19.26,,0.0
CA,5,53.2,9.75,18.37,,0.0
CA,6,32.1,10.68,13.93,,0.0
CA,7,42.0,11.35,22.31,,0.0
CA,8,60.2,10.35,27.87,,0.0
CA,9,65.6,10.89,20.47,,0.0
CA,10,57.7,10.3,27.57,,0.0
CA,11,52.9,11.05,24.56,,0.0
CA,12,58.8,10.16,14.73,,0.0
CA,13,45.6,9.63,24.99,,0.0
CA,14,41.6,10.76,27.78,,0.0
CA,15,26.6,10.23,21.73,,0.0
CA,16,30.4,10.29,14.75,,0.0
CA,17,32.8,11.75,29.29,,0.0
CA,18,66.4,10.83,29.81,,0.0
CA,19,39.7,9.54,16.0,,0.0
CA,20,32.3,10.26,18.6,,0.0
CA,21,38.9,9.98,17.84,,0.0
CA,22,64.3,11.54,26.9,,0.0
CA,23,41.8,8.55,22.94,,0.0
CA,24,61.7,8.89,15.29,,0.0
CA,25,53.2,10.54,24.87,,0.0
CA,26,54.4,8.17,19.87,,0.0
CA,27,56.7,9.02,16.56,,0.0
CA,28,63.7,7.56,19.17,,0.0
CA,29,28.1,8.28,16.13,,0.0
CA,30,25.6,8.74,25.11,,0.0
CA,31,36.2,9.52,20.42,,0.0
CA,32,40.6,8.44,12.21,,0.0
CA,33,57.1,7.9,21.38,,0.0
CA,34,52.0,7.69,14.37,,0.0
